mass,metabolic_rate
18646.109714269573,5361.2420751538175
20224.712324513588,5699.711621187019
21936.961375718005,6059.549215846485
23794.171540153937,6442.103826020518
25808.61540418074,6848.8095773730165
27993.604566431823,7281.1911298502355
30363.577601873505,7740.869393459649
32934.195473009524,8229.567603945443
35722.44501871462,8711.520633647866
38746.7512045613,9261.507600239942
42027.09887639693,9846.216337909049
45585.16482172876,10467.838856351775
49444.46101158836,11128.705545668632
53630.48996942859,11831.293911849714
58170.913293743564,12578.237863875098
63095.73444801934,13372.337587432286
68437.49702590883,14277.793747295462
74231.49980177922,15179.171525458902
80516.02998770532,16137.453428369588
87332.6162382843,17156.231750293948
94726.30307515213,18239.325558390647
102745.94854461776,19390.79500830477
111444.54707535649,20614.956562524512
120879.57966963464,21916.39917115417
131113.39374215636,23200.30396105197
142213.61511653368,24664.986918151397
154253.59490188232,26222.136435537483
167312.8942025441,27877.58988018493
181477.80986393214,29637.553120860113
196841.94472866112,31508.623792114086
213506.8261712696,33497.81602466698
231582.57699885019,35612.58673591714
251188.64315095753,38023.21236242473
272454.58300747885,40423.626530924215
295520.92352028756,42975.57634083792
320540.0888260594,45688.62788825856
347677.4074765782,48572.95114129684
377112.2049424205,51639.358062701314
409038.9886093305,54899.34313461322
443668.733097861,58365.12644040549
481230.2743997419,61785.3285236187
521971.82204356557,65685.88805899891
566162.5992822717,69832.68819287674
614094.622140936,74241.2736731957
666084.6290809155,78928.17054247008
722476.1740317543,83910.94807905902
783641.89662175,89208.28465834413
849985.9846090163,94840.03776187934
921946.8447850011,101257.82364024353
999999.9999999995,107650.13130357667
